areaCode,areaName,areaType,date,cumDailyNsoDeathsByDeathDate,hospitalCases,newCasesBySpecimenDate
E07000041,Exeter,ltla,2021-08-05,,,115
E07000041,Exeter,ltla,2021-08-04,,,140
E07000041,Exeter,ltla,2021-08-03,,,120
E07000041,Exeter,ltla,2021-08-02,,,126
E07000041,Exeter,ltla,2021-08-01,,,90
E07000041,Exeter,ltla,2021-07-31,,,94
E07000041,Exeter,ltla,2021-07-30,,,99
E07000041,Exeter,ltla,2021-07-29,,,110
E07000041,Exeter,ltla,2021-07-28,,,122
E07000041,Exeter,ltla,2021-07-27,,,121
E07000041,Exeter,ltla,2021-07-26,,,122
E07000041,Exeter,ltla,2021-07-25,,,72
E07000041,Exeter,ltla,2021-07-24,,,66
E07000041,Exeter,ltla,2021-07-23,,,47
E07000041,Exeter,ltla,2021-07-22,,,60
E07000041,Exeter,ltla,2021-07-21,,,78
E07000041,Exeter,ltla,2021-07-20,,,74
E07000041,Exeter,ltla,2021-07-19,,,91
E07000041,Exeter,ltla,2021-07-18,,,65
E07000041,Exeter,ltla,2021-07-17,,,70
E07000041,Exeter,ltla,2021-07-16,,,83
E07000041,Exeter,ltla,2021-07-15,,,108
E07000041,Exeter,ltla,2021-07-14,,,93
E07000041,Exeter,ltla,2021-07-13,,,72
E07000041,Exeter,ltla,2021-07-12,,,69
E07000041,Exeter,ltla,2021-07-11,,,54
E07000041,Exeter,ltla,2021-07-10,,,46
E07000041,Exeter,ltla,2021-07-09,,,46
E07000041,Exeter,ltla,2021-07-08,,,46
E07000041,Exeter,ltla,2021-07-07,,,55
E07000041,Exeter,ltla,2021-07-06,,,71
E07000041,Exeter,ltla,2021-07-05,,,44
E07000041,Exeter,ltla,2021-07-04,,,32
E07000041,Exeter,ltla,2021-07-03,,,57
E07000041,Exeter,ltla,2021-07-02,,,47
E07000041,Exeter,ltla,2021-07-01,,,45
E07000041,Exeter,ltla,2021-06-30,,,51
E07000041,Exeter,ltla,2021-06-29,,,69
E07000041,Exeter,ltla,2021-06-28,,,55
E07000041,Exeter,ltla,2021-06-27,,,41
E07000041,Exeter,ltla,2021-06-26,,,38
